geonameid,name,asciiname,alternatenames,latitude,longitude,feature_class,feature_code,country_code,cc2,admin1_code,admin2_code,admin3_code,admin4_code,population,elevation,dem,timezone,modification_date
4143658,Milford,Milford,"Milford,North Milford,South Milford,mi er fu de,milapharda,milpeodeu,mirufodo,mylfwrd,mylfwrd  dlawr,mylfwrd  dlawyr,Милфорд,Мілфорд,ميلفورد,میلفورد، دلاور,میلفورد، دلاویر,میلفورڈ، ڈیلاویئر,मिलफर्ड,ミルフォード,米尔福德,米爾福德,밀퍼드",38.91261,-75.42797,P,PPL,US,,DE,5,,,10252,3.0,5,America/New_York,2017-03-09
4143690,Millsboro,Millsboro,"Millsboro,Millsborough,Milsboro,Rock Haul,Rock Hole,Washington,Washington Village,mi er si bo lei,milasbaro,mylsbrw  dlawr,mylsbwrw,Милсборо,ملزبورو، ڈیلاویئر,ميلسبورو,میلسبرو، دلاور,मिलस्बरो,米尔斯伯勒",38.5915,-75.2913,P,PPL,US,,DE,5,,,4216,7.0,7,America/New_York,2026-08-30
4143696,Millville,Millville,,38.54956,-75.12324,P,PPL,US,,DE,5,,,590,3.0,6,America/New_York,2017-03-09
4143698,Milton,Milton,"Broadkill,Clowes,Clows,Conwell's Landing,Conwells Landing,Head of Broadkill,Head of Broadkiln,Mil'ton,Milton,Osborne's Landing,Osbornes Landing,Sockumtown,Upper Landing,mi er dun,milatana,myltwn,myltwn  dlawr,Милтон,Мильтон,ملٹن، ڈیلاویئر,ميلتون,میلتون، دلاور,मिलटन,米尔顿",38.77761,-75.30991,P,PPL,US,,DE,5,,,2824,4.0,6,America/New_York,2017-03-09
4143821,Nassau,Nassau,"Nassau,Rehoboth,na sao,拿騷",38.75206,-75.18769,P,PPL,US,,DE,5,,,3699,8.0,9,America/New_York,2024-12-02
4143834,New Castle,New Castle,"Aresapa,Cannekonkan,Delaware Town,Fort Casimir,Fort Casimires,Fort Kasimier,Fort Trefalldigheet,Fort Trinity,Macherish Kitton,N'ju-Kasl,Neu Castle,Neucastle,New Amstel,New Castel,New Castl,New Castle,New Castle Town,New Castle Towne,Newcastle,Newcastle Town,Nieu Causeland,Nieuwer-Amstel,Niew Amstel,Nju Kasl,Nova Kastelo,Sandhocken,Santhoeck,Tamakonck,Tamecongh,Trefaldighet,Trefalldigheet,n'yu kyasala,niu ka si er,nyukaeseul,nyw kasl,nyw kastl  dlawyr,nywkasl  dlawr,Њу Касл,Нью-Касл,ניו קאסל,نيو كاسل,نیو کاستل، دلاویر,نیو کیسل، ڈیلاویئر,نیوکاسل، دلاور,نیوکاسڵ، دێلەوەیر,न्यु क्यासल,ニュー・キャッスル,紐卡斯爾,纽卡斯尔,뉴캐슬",39.65948,-75.56359,P,PPL,US,,DE,3,7316541.0,,5382,3.0,1,America/New_York,2024-01-03
4143861,Newark,Newark,"N'juark,New Worke,Newark,Niouark,Njuark,Nyuark,n'yu'arka,niu wa ke,nyuaku,nyueokeu,nywark,nywark  dlawr,nywark  dlawyr,Νιούαρκ,Њуарк,Ньюарк,Нюарк,Նյուարկ,ניוארק,نيوارك,نیوآرک، دلاور,نیوارک، دلاویر,نیوارک، ڈیلاویئر,न्युआर्क,ニューアーク,紐瓦克,纽瓦克,뉴어크",39.68372,-75.74966,P,PPL,US,,DE,3,,,33817,38.0,39,America/New_York,2017-03-09
4143871,Newport,Newport,"N'juport,New Port,New Port Ayre,Newport,Njuport,n'yuporta,niu bo te,nywbwrt,nywpwrt  dlawr,Њупорт,Ньюпорт,نيوبورت,نیو پورٹ، ڈیلاویئر,نیوپورت، دلاور,न्युपोर्ट,纽波特",39.71372,-75.60937,P,PPL,US,,DE,3,,,1058,10.0,8,America/New_York,2017-03-09
4143897,North Star,North Star,,39.76122,-75.7191,P,PPL,US,,DE,3,,,7980,106.0,112,America/New_York,2011-05-14
4143946,Odessa,Odessa,"Appoquinimi,Cantwell,Cantwell's Bridge,Cantwells Bridge,Odesa,Odessa,ao de sa,awdsa  dlawr,awdysa,odesa,Одеса,Одесса,أوديسا,اودسا، دلاور,اوڈیسا، ڈیلاویئر,ओडेसा,敖德萨",39.45733,-75.66132,P,PPL,US,,DE,3,,,374,18.0,15,America/New_York,2017-03-09
4144100,Pike Creek,Pike Creek,"Pajk-Krik,Pike Creek,bayk kryk,pa'ika krika,paikukuriku,pyk kryk,pyk kryk  dlawyr,Пайк-Крик,Пайк-Крік,بايك كريك,پیک کریک,پیک کریک، دلاویر,पाइक क्रीक,パイククリーク",39.73095,-75.7041,P,PPL,US,,DE,3,,,7898,38.0,44,America/New_York,2011-05-14
4144101,Pike Creek Valley,Pike Creek Valley,"Pajk-Krik-Velli,Pike Creek Valley,payk kryk wly,payk kryk wly  dlawyr,Пайк-Крик-Велли,Пайк-Крік-Веллі,پایک کریک ولی,پایک کریک ولی، دلاویر",39.73622,-75.69827,P,PPL,US,,DE,3,,,11217,74.0,74,America/New_York,2011-05-14
4144284,Rehoboth Beach,Rehoboth Beach,"REH,Rehobeth,Rehobeth Beach,Rehoboth,Rehoboth Beach,Rekhobot Bich,Rekhobot-Bich,leohobeoseubichi,li huo bo si bi qi,rehobosubichi,rehobotha bica,ryhwbath bych  dlawr,ryhwbwth bytsh,Рехобот Бич,Рехобот-Бич,Рехобот-Біч,ريهوبوث بيتش,ریهوباث بیچ، دلاور,ریہوبوتھ بیچ، ڈیلاویئر,रेहोबोथ बीच,レホボスビーチ,里霍博斯比奇,러호버스비치",38.72095,-75.07601,P,PPL,US,,DE,5,,,1458,0.0,6,America/New_York,2017-03-09
4144338,Riverview,Riverview,"Riverv'ju,Riverview,Rivervuju,li fu wei you,ribharabhyu,ryfrfyw,rywrwyw,rywrwyw  dlawyr,Ривервъю,Ріверв'ю,ريفرفيو,ریورویو,ریورویو، دلاویر,रिभरभ्यू,里弗維尤",39.0265,-75.51076,P,PPL,US,,DE,1,,,2456,9.0,13,America/New_York,2011-05-14
